2	5	696	1672
2	4	326	2706
0	71	456	457
0	302	15	821
5	1129	255	2005
0	1228	185	76
1	327	428	2473
0	552	243	178
0	1530	834	729
3	57	58	2772
0	824	50	707
2	456	494	2555
0	1759	137	67
0	1788	137	123
0	105	44	529
0	41	15	594
2	169	494	1975
0	1659	4	1487
2	713	465	466
0	926	15	821
0	565	387	76
2	244	596	1133
0	1080	244	215
0	919	166	1
0	2008	166	2
2	2	201	323
2	834	596	695
0	2008	333	177
1	496	1579	960
0	1621	113	29
0	1906	44	598
0	1833	279	78
0	1495	4	442
0	419	304	658
0	105	44	112
7	549	1149	2222
1	129	718	1415
6	236	1007	943
0	453	1	91
1	327	2563	25
0	939	512	633
2	177	916	38
0	930	15	78
0	945	13	45
0	1254	13	1
0	1464	44	185
0	892	44	91
0	353	44	429
0	375	44	51
0	1045	13	56
0	1162	4	97
0	544	152	216
0	1128	152	123
0	259	70	417
0	790	289	137
0	574	44	144
0	892	4	29
0	1128	44	84
0	261	31	42
0	101	4	2
0	61	13	144
0	758	243	262
0	1675	50	122
0	1167	1627	289
0	451	44	84
0	1519	289	764
0	853	152	1077
2	1702	161	1442
0	961	121	70
0	136	166	2
0	1817	13	1430
0	862	4	89
2	56	201	282
0	2237	152	767
0	1001	171	195
2	1613	285	265
0	1174	15	95
0	530	89	617
0	142	512	421
2	66	285	1192
0	2072	70	78
4	181	1633	11
0	1781	4	72
0	237	152	1110
0	903	27	938
2	747	1188	761
2	166	201	2302
0	906	4	442
0	1197	207	153
0	703	4	14
0	582	4	414
0	722	121	22
6	1268	1498	1270
0	1339	149	42
0	343	14	529
3	57	25	2503
1	1121	1421	11
2	244	161	2283
0	409	834	74
2	244	402	1428
2	67	422	327
0	2368	536	289
1	607	797	438
0	795	4	78
0	517	112	76
0	1071	137	2307
0	358	13	29
0	1261	86	1424
2	166	599	1359
0	462	207	209
0	441	13	163
0	475	4	177
2	224	294	1241
0	1494	152	216
2	503	800	298
0	451	44	280
2	998	1248	467
0	1675	50	687
0	766	15	468
2	5	465	1568
0	970	493	1753
5	367	255	157
0	173	121	159
2	277	686	134
0	3	13	123
0	1796	44	44
2	166	661	2112
7	1895	1149	759
0	1507	44	270
2	112	63	211
0	278	13	742
0	302	15	513
0	1489	121	159
2	834	740	1205
0	2010	5	29
2	4	431	403
0	1530	4	366
0	731	15	14
0	606	31	1023
2	66	402	1025
1	762	368	25
0	1176	13	84
2	583	508	38
2	35	341	2603
0	525	137	80
0	1099	304	27
2	715	816	662
4	1226	450	792
2	5	1441	9
0	1786	13	243
2	638	494	323
0	1054	279	244
2	715	381	2652
0	619	89	31
0	3070	137	421
0	1369	152	594
0	1438	289	147
2	13	1686	771
0	1392	86	113
1	648	189	418
0	1573	13	185
0	1288	44	208
0	271	1200	178
0	1440	15	1175
0	453	1	380
0	426	13	180
0	1294	13	112
0	1103	13	498
0	2161	21	2
0	1250	13	429
0	1456	15	80
0	273	44	385
0	386	243	468
0	1561	834	729
0	173	4	215
0	116	474	29
2	474	495	2830
1	921	199	1109
1	478	797	11
0	939	152	876
2	35	201	1390
0	1968	243	87
0	2258	86	97
0	1524	13	1
0	179	44	221
0	1567	44	371
0	135	279	67
2	243	816	211
0	348	13	207
0	847	15	42
0	1832	44	72
